name,short_name,id,dataset_id
Lake Afton,Lake Afton,819a6922-d143-4cb1-ac14-00d6e27b4414,ec5f1ca3109ec981da92f59690853622--lake-afton
Santa Isabel,Isabel,a6140eec-1277-4561-b81e-973c27ae23bf,94c4488d87ffc84c302a1040481519f9--santa-isabel
"Autódromo Internacional de Turagua ""Pancho Pepe Cróquer""",Turagua,6a2e2171-1d40-41cc-8172-b76173e15930,5368a8da22e7e55ab655131a85132740--aut-dromo-internacional-de-turagua-pancho-pepe-cr-quer-
Wayne County Speedway,WayneCS,ed5ea7d5-9ce6-4ff8-a3c6-1e0cfc6fea61,dd700f8ccf1c2cbc0b1239129460a521--wayne-county-speedway
Casino Speedway,CasinoS,2e33a5fd-1f61-43a1-967f-fd26af4fd8ce,e44291ac40cdb4670873b7acf8c13e32--casino-speedway
Kartodromo Val Vibrata,Vibrata Full,c327c2b2-2895-4468-bf6a-1a1c480d64cd,290cf9dee3e38faa8a390adbb4f8ed85--kartodromo-val-vibrata
Red River Kart Club,R.R.K.C,18061f7c-8b85-4347-9c9b-3d9acf4e20f8,21614bb6a445d9329fb0ac64c19a9c20--red-river-kart-club
Brechin Motorsport Park,BMP Var2,873a29bf-2d0b-464e-9fdd-116089a584c3,60db9bb6af6e193b57519c8c747cc741--brechin-motorsport-park
Callaway Raceways,Callaway,a1196b9c-708c-4d36-b60e-accb64f5bec8,664b03dee0654fe2a99c49780fdbb866--callaway-raceways
Kart Equip,KartEquip,bfdde795-7124-4db3-8331-26c076695e6a,75d267a035f99b0b231d9c6b1c7ed47a--kart-equip
Circuit de Belmont,BelmontK,f3e8971b-db6f-48be-bf68-f7f12ba4d027,fa1d2d8280b6364d57cb442cd936c8ef--circuit-de-belmont
Mosten Raceday,Mosten,cf9fd9a6-6db9-4d62-8a17-f31768f33fc4,1732013ba31cb2e4146d2cc65f267724--mosten-raceday
GTR Complex,GTROval,cc8c62c8-d845-4848-b21e-11425ae78d41,d07631d3bb76e8224a8a3e6692fb2195--gtr-complex
Kartodromo Quilapilun Cach,Cach 2,4517ac3b-e545-45f7-91a0-d0f90ab5ec63,82181406b1bed7b0b6912ae80c13e3a5--kartodromo-quilapilun-cach
Kuningamäe Kardirada,KuningamaeK,075d0553-ea30-48a8-9805-3d049bcfab8f,a77703169b9f886b82bb4c20842743c7--kuningam-e-kardirada
Karting de Magescq,Magescq,a5fa16a5-6a13-473f-9089-fc9e0e2c1338,3930541a2aeb4ad7dbb0508657ac228a--karting-de-magescq
Tsukuba Circuit 1000 Kart,Tsukuba1000D,77d698d1-dd4e-4839-9423-266db5060c0e,a8b28f1f5d2b32c77710aa7cf1236c95--tsukuba-circuit-1000-kart
ERX Motor Park Full,ERX Full,960d0a0e-8440-4f01-a81d-fd2d32fd28ed,02869a302576bd6bb31e2e97fbe521c0--erx-motor-park-full
Alaska Raceway Park,Alaska DW,8c268641-4cc0-4c27-8d18-4b67a3dc148c,40c4ee68379ec42e68bdd0358414c836--alaska-raceway-park
